,X,Y,Z,nx,ny,nz,feature_name,val
0,8105.964844,7817.088379,4139.524414,-0.369708,0.656831,0.657183,s1,
1,8025.396484,7858.603516,4092.031738,-0.369707,0.656831,0.657184,s1,
2,7724.018066,7712.95166,4044.513184,-0.380564,0.661454,0.646258,s1,
3,7857.236816,7819.785645,4013.841553,-0.380567,0.661454,0.646256,s1,
4,7607.807129,7613.088379,4115.101074,-0.387485,0.661927,0.641645,s1,
5,7910.404785,7820.535645,4040.48584,-0.380565,0.661453,0.646258,s1,
6,7429.226074,7437.434082,4182.181152,-0.142905,0.677173,0.721813,s1,
7,7166.156738,7341.453125,4238.604492,-0.04103,0.727471,0.684911,s1,
8,6953.1875,7268.904785,4231.543945,-0.107449,0.650304,0.752037,s1,
9,4463.743164,8246.233398,3878.191162,-0.322569,0.711064,0.62477,s1,
10,4146.796875,8192.422852,3782.050781,-0.312602,0.654896,0.688034,s1,
11,4338.447266,8278.910156,3811.917969,-0.312605,0.654896,0.688033,s1,
12,3834.705322,7915.335449,3910.998779,-0.38748,0.649857,0.653869,s1,
13,3962.468018,8059.345215,3834.846436,-0.378529,0.640361,0.668321,s1,
14,3882.303955,7984.151855,3884.387695,-0.378529,0.640359,0.668324,s1,
15,3909.378174,8012.899902,3868.044922,-0.378529,0.640361,0.668321,s1,
16,4484.125,8298.175781,3890.225342,-0.312605,0.654896,0.688033,s1,
17,4130.777832,8226.283203,3798.846924,-0.361416,0.681936,0.635879,s1,
18,3991.658447,8110.191406,3819.530029,-0.378529,0.640361,0.668321,s1,
19,4450.890137,8314.161133,3867.620117,-0.312603,0.654895,0.688035,s1,
20,4436.492188,7939.796875,3828.122803,-0.271136,0.637735,0.720957,s1,
21,7479.196777,6897.290527,3940.542969,-0.368301,0.679938,0.634065,s1,
22,8206.579102,6932.778809,4287.825684,-0.404984,0.644881,0.648164,s1,
23,6462.431641,6818.061035,3982.512451,0.338511,0.669502,0.661195,s1,
24,7264.435059,6808.224121,3926.915527,-0.111467,0.699892,0.705497,s1,
25,7645.959473,6906.973145,4004.677246,-0.363077,0.676886,0.640312,s1,
26,7361.058105,6841.313965,3928.993896,-0.280938,0.680807,0.676443,s1,
27,7144.925781,6802.59375,3923.816406,-0.011329,0.717988,0.695963,s1,
28,8101.257813,6904.299316,4248.177246,-0.404994,0.644886,0.648153,s1,
29,6699.904785,6798.770996,3957.359863,0.152611,0.701669,0.695968,s1,
30,8014.854004,6907.269531,4209.583984,-0.373832,0.634949,0.676084,s1,
31,7545.029297,6898.556152,3945.394775,-0.363489,0.677244,0.6397,s1,
32,6996.196777,6770.859375,3920.439697,-0.011325,0.717989,0.695963,s1,
33,6801.747559,6772.209473,3933.853516,0.046899,0.76923,0.637249,s1,
34,7774.21875,6883.507813,4096.694336,-0.363077,0.676886,0.640312,s1,
